name, location
The Northcap University,Gurgaon ...
The West Bengal National University of Juridical Sciences,Kolkata
Thiruvalluvar University,Vellore
Thunchath Ezhuthachan Malayalam University,Tirur
Tilak Maharashtra Vidyapeeth,Pune
Tilka Manjhi Bhagalpur University,Bhagalpur
Trans-disciplinary University,Bangalore
Tripura University,Agartala
Tumkur University,Tumkur
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan,Mathura
Uka Tarsadia University,Surat
University of Agricultural and Horticultural Sciences,Shimoga
"University of Agricultural Sciences, Bangalore",Bangalore ...
"University of Agricultural Sciences, Dharwad",Dharwad
"University of Agricultural Sciences, Raichur",Raichur
University of Allahabad,Allahabad
University of Burdwan,Bardhaman
University of Calcutta,Kolkata
University of Calicut,Tenhipalam ...
University of Delhi,New Delhi
University of Gour Banga,Malda
"University of Horticultural Sciences, Bagalkot",Bagalkot
University of Hyderabad,Hyderabad
University of Jammu,Jammu
University of Kalyani,Kalyani
University of Kashmir,Srinagar
University of Kerala,Thiruvananthapuram
University of Kota,Kota
University of Lucknow,Lucknow
University of Madras,Chennai
University of Mumbai,Mumbai
University of Mysore,Mysore ...
University of North Bengal,Siliguri
University of Patanjali,Haridwar
University of Petroleum and Energy Studies,Dehradun
University of Rajasthan,Jaipur
"University of Science and Technology, Meghalaya",Baridua
University of Solapur,Solapur
University of Technology and Management,Shillong
Utkal University,Bhubaneswar
Utkal University of Culture,Bhubaneswar
Uttar Banga Krishi Viswavidyalaya,Pundibari
Uttarakhand Ayurved University,Dehradun
Uttarakhand Technical University,Dehradun
Uttarakhand University of Horticulture and Forestry,Bharsar
Uttaranchal Sanskrit University,Haridwar
Uttaranchal University,Dehradun
Vasantrao Naik Marathwada Agricultural University,Parbhani
Veer Bahadur Singh Purvanchal University,Jaunpur
Veer Kunwar Singh University,Arrah
Veer Narmad South Gujarat University,Surat
Veer Surendra Sai University of Technology,Sambalpur
Vel Tech Dr.RR and Dr.SR Technical University,Chennai ...
Vels University,Chennai
Vidyasagar University,Midnapore
Vignan's University,Guntur
Vijayanagara Sri Krishnadevaraya University,Bellary
Vikram University,Ujjain
Vikrama Simhapuri University,Nellore
Vinayaka Missions Sikkim University,Gangtok
Vinayaka Missions University,Salem
Vinoba Bhave University,Hazaribag
Visva-Bharati University,Santiniketan ...
Visvesvaraya National Institute of Technology,Nagpur
Visvesvaraya Technological University,Belgaum
VIT University,Vellore ...
Vivekananda Global University,Jaipur
West Bengal State University,Barasat
West Bengal University of Animal and Fishery Sciences,Kolkata
West Bengal University of Health Sciences,Kolkata
"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata
William Carey University,Shillong
Xavier University Bhubaneswar,Bhubaneswar
Yenepoya University,Mangalore
YMCA University of Science and Technology,Faridabad
Yogi Vemana University,Kadapa
